Household_ID,State,District,Area,Family_Size,Income,Expenses,Savings,Education,Occupation,Own_House,Vehicles,Electricity_Usage,Water_Source,Internet,Bank_Balance,Loan_Amount,Credit_Score
HH00023,Tamil Nadu,B,Rural,8,215440,107847,107593,Secondary,Labor,Yes,1,98.9,Tanker,No,43605.86,1047631.57,311
HH00024,Gujarat,C,Urban,2,249394,196061,53333,Primary,Student,Yes,3,752.0,Well,Yes,1725708.53,1416384.17,309
HH00025,Delhi,A,Rural,2,155164,88417,66747,Secondary,Farmer,Yes,1,149.8,Well,No,1158016.97,964803.73,617
HH00026,Karnataka,A,Urban,8,128992,94642,34350,Secondary,Doctor,Yes,0,219.8,Borewell,No,1191712.29,291487.62,835
HH00027,Maharashtra,B,Urban,3,150409,98892,51517,Graduate,Labor,Yes,3,366.4,Well,Yes,1747753.25,948157.38,399
HH00028,Karnataka,D,Urban,1,77616,62663,14953,Postgraduate,Doctor,No,2,732.8,Tanker,Yes,14664.06,542188.07,532
HH00029,Karnataka,D,Urban,9,126107,59557,66550,Secondary,Student,Yes,1,160.7,Borewell,No,508993.76,981343.62,670
HH00030,Punjab,B,Rural,1,279614,226698,52916,Graduate,Teacher,No,2,888.1,Tanker,Yes,182765.55,905128.26,696
HH00031,Delhi,C,Urban,7,113594,113953,-359,Postgraduate,Engineer,Yes,3,263.8,Tanker,No,1879857.5,452840.94,383
HH00032,Karnataka,B,Rural,10,264588,277734,-13146,Postgraduate,Farmer,Yes,2,805.6,Tap,Yes,745936.28,135861.8,637
HH00033,Punjab,D,Urban,8,226717,147036,79681,Primary,Business,No,4,712.0,Well,Yes,1096377.16,950282.62,609
HH00034,Maharashtra,D,Rural,1,296245,148319,147926,Graduate,Business,No,3,814.6,Tanker,Yes,361772.63,450683.29,337
HH00035,Delhi,C,Rural,3,228706,136829,91877,Secondary,Engineer,Yes,0,846.4,Tanker,Yes,1733798.39,208487.71,443
HH00036,Gujarat,A,Urban,4,197228,216624,-19396,Secondary,Engineer,Yes,1,714.3,Well,No,1526598.16,488620.42,795
HH00037,Delhi,A,Rural,9,54717,25662,29055,Secondary,Doctor,No,3,728.9,Well,No,1888615.61,625167.74,781
HH00038,Tamil Nadu,D,Rural,9,76396,77745,-1349,Postgraduate,Engineer,No,2,567.2,Well,Yes,1661121.16,1401454.94,474
HH00039,Gujarat,A,Urban,7,63400,60795,2605,Secondary,Teacher,No,0,758.8,Tanker,Yes,64284.12,1105087.57,312
HH00040,Punjab,A,Urban,10,44189,17998,26191,Postgraduate,Doctor,Yes,1,345.3,Tap,Yes,1983159.06,373025.51,895
HH00041,Karnataka,D,Rural,8,197797,140792,57005,Primary,Engineer,No,0,180.7,Borewell,No,1008187.47,1045187.91,850
HH00042,Gujarat,D,Urban,3,211820,197373,14447,Graduate,Teacher,Yes,2,410.4,Well,No,488558.74,1293606.84,836
HH00043,Maharashtra,C,Urban,8,214444,85950,128494,Secondary,Student,Yes,1,117.5,Well,Yes,1468379.89,145320.57,603
HH00044,Maharashtra,D,Urban,3,215118,224359,-9241,Graduate,Business,No,0,285.3,Well,No,616547.69,250544.46,679
HH00045,Delhi,A,Rural,1,59406,24814,34592,Primary,Student,Yes,1,425.2,Tap,No,1590726.77,506718.53,507
HH00046,Maharashtra,D,Urban,1,234762,235548,-786,Postgraduate,Engineer,No,2,532.2,Well,Yes,442150.3,1320448.4,528
HH00047,Maharashtra,A,Urban,2,178299,172746,5553,Primary,Student,Yes,3,142.2,Tap,No,-2083.25,1393704.99,708
HH00048,Punjab,C,Rural,9,202973,176718,26255,Secondary,Student,Yes,2,592.3,Tap,Yes,1346756.24,1462815.6,598
HH00049,Karnataka,D,Rural,10,294941,280016,14925,Primary,Student,No,4,760.9,Tap,No,183824.89,1345369.56,547
HH00050,Delhi,B,Rural,2,231119,243800,-12681,Secondary,Farmer,Yes,3,504.1,Tanker,No,1867826.67,1399867.39,816
HH00051,Karnataka,C,Urban,9,52668,29852,22816,Graduate,Farmer,Yes,1,433.2,Tap,No,1562085.43,245798.1,604
HH00052,Maharashtra,C,Rural,2,78710,69887,8823,Postgraduate,Engineer,Yes,4,186.8,Well,No,403643.5,87363.8,512
HH00053,Punjab,B,Rural,3,291051,189209,101842,Secondary,Student,No,4,860.0,Tanker,No,1047743.65,876416.17,445
HH00054,Delhi,A,Rural,9,29229,25749,3480,Graduate,Doctor,No,2,725.6,Tanker,Yes,780044.81,598929.13,496
HH00055,Karnataka,C,Rural,3,234078,233780,298,Graduate,Farmer,Yes,4,474.3,Tap,No,1081894.75,692650.15,691
HH00056,Maharashtra,A,Rural,6,132156,143591,-11435,Primary,Farmer,Yes,0,349.2,Borewell,Yes,345029.87,1212156.24,818
HH00057,Maharashtra,D,Urban,8,197918,190417,7501,Secondary,Labor,Yes,4,87.3,Borewell,No,1015.21,1496719.44,748
HH00058,Gujarat,C,Rural,4,112421,93306,19115,Secondary,Student,Yes,3,364.2,Well,Yes,573963.27,18447.78,515
HH00059,Delhi,B,Rural,7,104214,93881,10333,Graduate,Farmer,Yes,0,440.2,Well,Yes,896261.22,1286939.66,887
HH00060,Karnataka,B,Urban,9,157505,143934,13571,Graduate,Doctor,Yes,4,544.0,Well,Yes,1239633.32,657599.99,831
HH00061,Karnataka,D,Rural,6,215196,119722,95474,Graduate,Labor,Yes,2,899.6,Tanker,Yes,1284141.84,128911.36,886
HH00062,Maharashtra,B,Rural,4,205095,158264,46831,Secondary,Farmer,Yes,1,349.4,Borewell,Yes,90316.17,1145878.77,310
HH00063,Tamil Nadu,D,Urban,7,68904,30964,37940,Secondary,Engineer,No,4,432.5,Tanker,No,778257.43,383182.63,395
HH00064,Delhi,C,Urban,4,54520,47583,6937,Primary,Business,No,2,361.6,Tap,No,826901.32,699683.48,457
HH00065,Delhi,D,Urban,9,61871,46747,15124,Graduate,Farmer,Yes,1,662.0,Tap,No,420853.86,18822.88,385
HH00066,Gujarat,A,Urban,4,83054,78251,4803,Postgraduate,Business,No,1,595.2,Tap,No,1253232.4,1140969.21,477
HH00067,Punjab,A,Rural,7,158769,172614,-13845,Secondary,Labor,Yes,4,617.7,Tap,Yes,1261529.92,773507.0,666
HH00068,Tamil Nadu,D,Urban,4,212811,226642,-13831,Primary,Doctor,No,0,343.1,Tanker,No,740744.4,1208691.64,435
HH00069,Delhi,A,Rural,9,287426,187032,100394,Graduate,Engineer,No,0,860.0,Tap,Yes,133771.4,1284690.85,684
HH00070,Gujarat,D,Rural,3,165606,172700,-7094,Graduate,Farmer,Yes,2,436.1,Tanker,Yes,1851505.7,380369.7,408
HH00071,Maharashtra,C,Urban,1,252638,177472,75166,Secondary,Farmer,Yes,0,75.8,Borewell,No,732452.04,400634.23,483
HH00072,Maharashtra,C,Rural,8,270484,165590,104894,Secondary,Engineer,No,4,113.9,Tap,Yes,1439119.37,584154.53,862
HH00073,Karnataka,A,Urban,4,209205,154268,54937,Secondary,Engineer,No,1,274.6,Tanker,Yes,390491.8,637989.47,527
HH00074,Karnataka,C,Urban,4,74458,64154,10304,Secondary,Labor,Yes,0,689.7,Borewell,Yes,1792701.72,247484.33,705
HH00075,Tamil Nadu,D,Urban,3,251527,136702,114825,Postgraduate,Engineer,No,2,109.9,Tap,Yes,1726443.87,159801.8,774
HH00076,Karnataka,C,Urban,2,118714,100045,18669,Secondary,Farmer,Yes,1,586.4,Well,No,1329024.68,236546.0,338
HH00077,Delhi,D,Rural,8,86879,83806,3073,Graduate,Business,No,1,657.2,Borewell,No,1048104.38,880915.85,575
HH00078,Karnataka,D,Urban,5,46606,25079,21527,Graduate,Teacher,No,3,466.2,Well,Yes,1998035.72,644067.04,458
HH00079,Delhi,D,Urban,5,272387,224208,48179,Postgraduate,Engineer,No,1,213.0,Well,Yes,1438271.77,307533.06,467
HH00080,Punjab,A,Rural,2,276057,250391,25666,Secondary,Labor,Yes,4,39.3,Tanker,Yes,461396.37,204665.48,365
HH00081,Punjab,B,Rural,10,288206,182235,105971,Secondary,Doctor,No,4,393.1,Well,Yes,532676.8,36045.18,692
HH00082,Delhi,D,Rural,2,197563,115677,81886,Postgraduate,Doctor,No,4,610.9,Tanker,No,1297845.8,654234.07,467
HH00083,Maharashtra,B,Urban,10,49514,35615,13899,Secondary,Farmer,Yes,2,388.6,Borewell,Yes,550907.67,1450971.91,530
HH00084,Tamil Nadu,A,Rural,9,34237,14604,19633,Graduate,Farmer,No,1,864.4,Tanker,Yes,1139170.06,828267.87,372
HH00085,Karnataka,C,Rural,2,38513,36756,1757,Secondary,Labor,No,3,476.2,Well,Yes,1747691.8,394997.79,568
HH00086,Tamil Nadu,B,Urban,9,286841,263690,23151,Primary,Engineer,Yes,3,122.6,Well,No,762405.18,687488.54,545
HH00087,Delhi,D,Urban,6,135605,97137,38468,Graduate,Engineer,No,2,849.6,Tanker,Yes,1050898.37,971454.55,751
HH00088,Maharashtra,C,Urban,7,233314,113937,119377,Primary,Teacher,Yes,3,603.1,Tap,No,1563418.92,738702.86,624
HH00089,Punjab,C,Rural,3,257217,160165,97052,Graduate,Business,Yes,3,674.9,Tanker,Yes,665491.9,636809.24,326
HH00090,Karnataka,D,Urban,5,244845,243583,1262,Primary,Doctor,No,1,306.0,Tanker,Yes,1388797.98,654907.04,488
HH00091,Karnataka,A,Rural,9,187582,177282,10300,Postgraduate,Engineer,Yes,2,559.8,Well,Yes,323315.27,982767.42,578
HH00092,Tamil Nadu,D,Rural,5,41095,29688,11407,Secondary,Labor,Yes,2,816.9,Well,Yes,945900.73,1024062.4,789
HH00093,Karnataka,A,Rural,4,131641,61798,69843,Postgraduate,Business,No,1,755.7,Tap,Yes,795220.34,703076.09,480
HH00094,Maharashtra,A,Urban,8,50791,25181,25610,Graduate,Doctor,Yes,2,533.0,Tanker,No,258278.86,400259.42,394
HH00095,Delhi,D,Rural,6,128360,113180,15180,Graduate,Teacher,Yes,3,366.9,Tap,No,1751988.81,940716.83,653
HH00096,Delhi,D,Urban,3,230554,112968,117586,Postgraduate,Student,No,0,836.0,Tanker,No,1319165.99,880898.66,403
HH00097,Maharashtra,C,Urban,8,210389,166875,43514,Postgraduate,Farmer,Yes,3,483.4,Well,No,1639175.46,1141601.33,613
HH00098,Punjab,D,Rural,3,227869,95305,132564,Graduate,Engineer,No,4,86.0,Well,Yes,604736.73,385238.56,710
HH00099,Punjab,A,Urban,9,284436,264564,19872,Primary,Engineer,No,2,207.6,Well,No,721943.25,1430528.31,478
HH00100,Gujarat,D,Rural,1,94821,59949,34872,Secondary,Business,No,0,639.0,Tanker,No,1289125.01,261229.37,815
HH00101,Punjab,A,Urban,7,175893,112071,63822,Graduate,Student,Yes,1,284.0,Tap,Yes,389124.57,88353.45,441
HH00102,Tamil Nadu,B,Rural,1,16063,10036,6027,Primary,Farmer,Yes,4,408.7,Well,No,482637.36,887126.49,631
HH00103,Punjab,A,Urban,8,54322,45128,9194,Postgraduate,Business,No,2,732.8,Borewell,No,285838.97,1279671.8,376
HH00104,Karnataka,B,Urban,2,64590,45108,19482,Graduate,Doctor,No,4,311.1,Tap,Yes,1669102.44,1387643.72,316
HH00105,Delhi,A,Urban,6,65848,60445,5403,Graduate,Farmer,No,3,113.9,Borewell,No,1104687.45,789211.27,717
HH00106,Karnataka,C,Urban,3,221813,226126,-4313,Primary,Engineer,Yes,4,638.3,Well,No,1301541.59,807988.14,639
HH00107,Gujarat,B,Rural,5,295414,175729,119685,Graduate,Business,Yes,4,674.7,Tap,No,993128.34,1380797.79,378
HH00108,Gujarat,D,Rural,9,138822,98080,40742,Graduate,Teacher,No,2,615.5,Tanker,Yes,1705517.45,1293073.45,659
HH00109,Karnataka,A,Urban,10,148695,133075,15620,Secondary,Labor,No,0,565.5,Tap,Yes,226323.14,31257.66,789
HH00110,Gujarat,C,Urban,1,150430,72224,78206,Graduate,Farmer,No,1,301.3,Well,Yes,1298714.24,968386.39,491
HH00111,Karnataka,A,Rural,3,239362,250938,-11576,Secondary,Labor,No,1,672.6,Tanker,Yes,543581.84,1434146.92,726
HH00112,Delhi,B,Urban,1,46316,36833,9483,Secondary,Business,No,3,697.6,Tanker,No,1335728.01,1084164.42,327
HH00113,Maharashtra,B,Rural,10,140751,120134,20617,Secondary,Doctor,No,2,865.6,Tanker,No,343142.55,728038.9,847
HH00114,Maharashtra,B,Urban,5,154941,75096,79845,Primary,Teacher,No,1,188.1,Tap,No,1911640.17,744392.19,502
HH00115,Delhi,B,Urban,8,222239,227668,-5429,Secondary,Engineer,No,1,279.2,Well,Yes,1264845.32,623976.41,780
HH00116,Karnataka,B,Urban,1,186651,95919,90732,Primary,Engineer,Yes,1,893.6,Tanker,No,8060.28,194787.26,337
HH00117,Delhi,C,Urban,4,273929,233911,40018,Primary,Doctor,Yes,4,229.3,Tanker,No,1202385.61,881626.49,596
HH00118,Gujarat,C,Rural,1,38505,38515,-10,Postgraduate,Engineer,No,1,530.5,Tanker,No,53427.45,1150540.74,412
HH00119,Maharashtra,D,Urban,8,160356,166234,-5878,Primary,Teacher,No,2,884.1,Borewell,Yes,498017.99,1276637.89,704
HH00120,Karnataka,D,Rural,6,24506,18726,5780,Graduate,Teacher,No,2,153.8,Well,Yes,184549.21,79193.21,744
HH00121,Maharashtra,A,Urban,3,168616,101188,67428,Secondary,Engineer,Yes,2,255.2,Tanker,Yes,141518.75,455241.26,658
HH00122,Karnataka,A,Urban,7,49088,44708,4380,Secondary,Labor,Yes,3,571.7,Tap,No,1527481.03,1210315.66,620
HH00123,Tamil Nadu,D,Urban,10,188472,204625,-16153,Secondary,Engineer,No,3,611.8,Borewell,Yes,1921934.59,1050548.28,451
HH00124,Delhi,D,Urban,1,24466,13321,11145,Graduate,Teacher,Yes,3,660.0,Tap,No,322587.08,873954.34,402
HH00125,Gujarat,B,Urban,9,142985,121882,21103,Secondary,Engineer,No,3,613.1,Tap,No,1775309.11,1407413.21,747
HH00126,Maharashtra,A,Rural,6,217625,204078,13547,Graduate,Student,No,2,466.5,Tanker,No,1862195.16,45052.91,412
HH00127,Tamil Nadu,D,Urban,10,207744,111737,96007,Postgraduate,Farmer,Yes,4,596.2,Tanker,Yes,1928209.14,354192.81,481
HH00128,Karnataka,B,Urban,5,139460,123288,16172,Primary,Business,No,4,60.6,Borewell,Yes,728807.48,345831.64,890
HH00129,Maharashtra,B,Urban,3,218318,227020,-8702,Secondary,Farmer,No,0,99.4,Tanker,Yes,1393224.44,926984.61,586
HH00130,Karnataka,B,Rural,5,42770,40042,2728,Secondary,Teacher,No,1,399.2,Tanker,No,454856.78,305237.42,728
HH00131,Karnataka,B,Rural,1,186149,131613,54536,Graduate,Student,No,3,884.4,Tanker,No,456221.56,175458.64,780
HH00132,Delhi,C,Rural,4,229193,203071,26122,Graduate,Labor,No,2,516.5,Tap,No,892204.38,544453.15,801
HH00133,Delhi,C,Rural,9,42084,29448,12636,Primary,Farmer,No,1,801.7,Tanker,Yes,391410.31,61829.91,571
HH00134,Delhi,B,Rural,9,8611,4841,3770,Secondary,Doctor,Yes,0,528.6,Tap,No,1701719.25,288871.86,715
HH00135,Karnataka,C,Rural,4,92512,57986,34526,Primary,Student,No,2,291.6,Tap,No,104277.25,547484.39,433
HH00136,Gujarat,B,Urban,4,181653,150920,30733,Postgraduate,Teacher,No,0,724.2,Well,No,1810490.1,365180.34,815
HH00137,Karnataka,A,Rural,4,177966,131727,46239,Primary,Doctor,Yes,3,602.6,Borewell,Yes,1595134.7,302128.5,776
HH00138,Gujarat,B,Rural,5,14726,10901,3825,Postgraduate,Student,Yes,3,608.5,Well,No,159540.23,614292.57,599
HH00139,Maharashtra,C,Rural,9,79556,52339,27217,Postgraduate,Engineer,Yes,4,266.5,Tanker,No,377243.3,619419.39,883
HH00140,Punjab,B,Urban,3,14069,7703,6366,Primary,Teacher,Yes,0,789.0,Tap,No,187821.96,576294.01,431
HH00141,Maharashtra,B,Urban,6,83248,74946,8302,Graduate,Farmer,No,0,404.7,Well,No,1701367.57,1096093.69,598
HH00142,Karnataka,A,Rural,9,174677,85212,89465,Secondary,Farmer,No,2,670.4,Borewell,Yes,319500.07,1475689.05,565
HH00143,Punjab,B,Rural,7,40740,37324,3416,Postgraduate,Business,Yes,2,768.0,Well,Yes,971512.78,784164.53,460
HH00144,Tamil Nadu,C,Urban,1,40420,17765,22655,Secondary,Engineer,No,4,180.3,Borewell,No,458726.78,651900.05,875
HH00145,Tamil Nadu,D,Urban,8,83672,44971,38701,Secondary,Doctor,Yes,3,195.9,Borewell,Yes,1589875.23,221130.32,357
HH00146,Delhi,B,Urban,6,120780,103191,17589,Postgraduate,Doctor,Yes,0,50.3,Tap,Yes,1752221.94,82168.28,747
HH00147,Gujarat,A,Urban,3,124159,50861,73298,Graduate,Farmer,No,3,700.6,Tanker,Yes,417838.64,903050.22,475
HH00148,Karnataka,B,Rural,9,281884,121086,160798,Secondary,Teacher,No,1,452.1,Borewell,Yes,827026.22,337497.79,541
HH00149,Gujarat,C,Rural,1,284777,138355,146422,Primary,Engineer,Yes,3,134.8,Tanker,No,377422.82,959317.4,823
HH00150,Delhi,C,Urban,2,43488,36136,7352,Secondary,Teacher,No,4,189.9,Borewell,No,896226.24,1269983.57,689
HH00151,Punjab,C,Rural,2,26153,28467,-2314,Graduate,Doctor,Yes,4,352.8,Borewell,Yes,1586765.41,429189.38,417
HH00152,Gujarat,B,Rural,4,276725,118092,158633,Primary,Student,No,2,350.5,Borewell,No,395898.94,316177.69,585
HH00153,Punjab,D,Rural,2,254541,195722,58819,Primary,Business,Yes,2,123.9,Tap,No,339877.81,1399648.79,533
HH00154,Maharashtra,B,Rural,7,201924,220250,-18326,Graduate,Doctor,Yes,2,152.1,Borewell,Yes,1634264.79,971963.7,802
HH00155,Karnataka,A,Urban,9,56274,48894,7380,Primary,Doctor,No,4,856.6,Tap,No,660751.16,639821.44,419
HH00156,Gujarat,B,Urban,10,25512,24290,1222,Primary,Doctor,No,4,757.1,Tanker,Yes,282233.83,888907.8,526
HH00157,Karnataka,B,Rural,1,237166,102763,134403,Postgraduate,Teacher,No,2,342.5,Tanker,Yes,576474.32,104438.64,332
HH00158,Delhi,D,Rural,3,89408,93440,-4032,Secondary,Doctor,No,3,572.1,Well,No,1089876.53,1387660.98,519
HH00159,Tamil Nadu,B,Rural,4,116537,104157,12380,Primary,Labor,Yes,1,64.8,Well,Yes,408555.1,752045.55,633
HH00160,Delhi,B,Rural,8,289507,278771,10736,Secondary,Engineer,No,4,128.2,Borewell,Yes,851854.66,1122073.71,787
HH00161,Gujarat,C,Rural,7,129358,56001,73357,Secondary,Doctor,Yes,0,577.8,Borewell,Yes,1244569.34,723397.07,772
HH00162,Karnataka,C,Urban,8,292667,253856,38811,Secondary,Labor,No,0,366.6,Borewell,Yes,268708.02,804891.88,521
HH00163,Maharashtra,B,Urban,7,9162,5860,3302,Secondary,Farmer,No,4,55.9,Well,No,1144831.28,1373944.74,500
HH00164,Delhi,B,Urban,5,51017,27093,23924,Graduate,Farmer,Yes,2,201.6,Tanker,Yes,784748.52,1270010.13,536
HH00165,Karnataka,C,Urban,2,88829,63675,25154,Secondary,Business,Yes,4,678.2,Tanker,Yes,1298808.33,153506.32,393
HH00166,Tamil Nadu,D,Rural,9,133616,85153,48463,Primary,Engineer,Yes,0,515.8,Borewell,Yes,1321800.26,1490222.53,781
HH00167,Maharashtra,C,Rural,10,237283,108022,129261,Postgraduate,Doctor,Yes,1,726.3,Tap,No,1408378.51,587008.3,381
HH00168,Tamil Nadu,D,Rural,3,299080,216692,82388,Graduate,Business,Yes,4,293.2,Tap,No,805478.77,1214475.29,329
HH00169,Punjab,A,Rural,9,41004,29121,11883,Primary,Labor,Yes,4,38.3,Tap,Yes,934224.35,240025.63,568
HH00170,Delhi,A,Rural,8,103997,84261,19736,Secondary,Farmer,Yes,3,736.6,Borewell,Yes,1903024.31,525016.69,316
HH00171,Delhi,D,Rural,10,200427,147559,52868,Primary,Doctor,Yes,2,706.1,Tap,No,283667.37,675005.35,690
HH00172,Tamil Nadu,C,Urban,6,242230,179575,62655,Secondary,Labor,Yes,1,184.4,Borewell,No,539551.38,871330.35,760
HH00173,Delhi,C,Rural,8,249870,222374,27496,Primary,Labor,Yes,1,112.2,Borewell,Yes,740935.12,726342.33,421
HH00174,Punjab,C,Urban,8,23945,18518,5427,Secondary,Labor,Yes,0,852.2,Tap,Yes,503424.54,600186.28,531
HH00175,Karnataka,B,Rural,4,94634,90394,4240,Secondary,Engineer,No,1,508.6,Well,No,376493.7,773077.9,411
HH00176,Karnataka,C,Urban,1,73506,45535,27971,Postgraduate,Labor,Yes,4,603.2,Tanker,No,545426.15,142392.71,552
HH00177,Karnataka,B,Urban,5,291768,146206,145562,Secondary,Labor,Yes,2,302.6,Tanker,No,1847099.21,535172.93,879
HH00178,Maharashtra,B,Rural,8,83414,85549,-2135,Graduate,Student,Yes,0,243.2,Tap,No,898222.76,107785.06,676
HH00179,Punjab,A,Rural,5,250639,193653,56986,Graduate,Teacher,Yes,0,799.2,Borewell,Yes,147107.18,1393999.77,820
HH00180,Tamil Nadu,A,Urban,5,81738,74545,7193,Secondary,Engineer,No,4,696.7,Borewell,Yes,1297160.2,639161.13,305
HH00181,Delhi,B,Urban,6,294250,313724,-19474,Secondary,Farmer,No,4,236.9,Well,Yes,1932908.03,1364094.96,867
HH00182,Tamil Nadu,C,Rural,2,128262,87875,40387,Secondary,Farmer,No,4,37.8,Tanker,No,1300277.79,1330666.74,661
HH00183,Karnataka,B,Urban,5,122648,80618,42030,Secondary,Labor,No,1,72.1,Tanker,No,1240030.89,126046.68,864
HH00184,Tamil Nadu,A,Rural,5,82529,53759,28770,Graduate,Student,Yes,1,614.2,Tanker,No,1103580.63,46256.4,505
HH00185,Maharashtra,B,Urban,5,116193,65666,50527,Secondary,Engineer,No,3,453.9,Borewell,Yes,1849981.04,1411416.85,777
HH00186,Tamil Nadu,D,Urban,5,249444,109137,140307,Secondary,Doctor,Yes,4,738.3,Tap,Yes,1880961.47,286423.96,313
HH00187,Tamil Nadu,B,Urban,10,173048,97974,75074,Postgraduate,Business,Yes,0,570.1,Tanker,Yes,1435358.17,400058.29,792
HH00188,Punjab,B,Rural,5,206453,98637,107816,Primary,Student,No,1,838.6,Well,Yes,1973081.01,16278.06,333
HH00189,Maharashtra,D,Urban,5,240219,156735,83484,Primary,Farmer,No,2,483.1,Tanker,No,438579.29,118498.67,558
HH00190,Tamil Nadu,A,Urban,3,36972,29047,7925,Secondary,Engineer,No,2,358.8,Borewell,No,230859.37,981521.35,847
HH00191,Delhi,D,Rural,1,98239,88007,10232,Primary,Teacher,Yes,3,442.3,Tap,No,1442743.32,81191.78,318
HH00192,Delhi,A,Urban,7,191686,93390,98296,Graduate,Engineer,Yes,0,824.6,Tap,No,575684.57,1307890.82,549
HH00193,Maharashtra,D,Rural,7,174732,159360,15372,Secondary,Business,No,4,894.1,Tap,No,523969.9,678953.35,532
HH00194,Tamil Nadu,D,Rural,1,26238,20348,5890,Secondary,Business,Yes,4,188.0,Tap,No,1649678.08,592989.39,309
HH00195,Maharashtra,B,Rural,1,260877,108751,152126,Primary,Labor,No,4,718.8,Well,No,1558031.15,426922.85,525
HH00196,Maharashtra,B,Urban,8,273352,223087,50265,Postgraduate,Business,No,4,780.4,Tap,Yes,36911.09,165147.77,380
HH00197,Punjab,A,Urban,9,84624,38767,45857,Primary,Teacher,Yes,4,584.3,Tanker,No,1024250.65,415766.82,636
HH00198,Punjab,B,Urban,6,177520,107613,69907,Graduate,Engineer,No,1,437.6,Borewell,No,1140011.87,1022230.37,490
HH00199,Punjab,A,Rural,7,174028,116529,57499,Graduate,Farmer,No,2,160.4,Tap,Yes,1801351.97,1340122.58,770
HH00200,Karnataka,C,Rural,5,199810,198664,1146,Graduate,Engineer,Yes,4,398.0,Tap,Yes,1468790.43,1016517.95,383
HH00201,Gujarat,B,Urban,5,7169,7053,116,Secondary,Farmer,No,4,36.4,Borewell,Yes,460236.22,999417.67,558
HH00202,Punjab,D,Rural,5,237924,235198,2726,Graduate,Labor,Yes,4,606.5,Well,Yes,31538.25,1465357.61,638
HH00203,Tamil Nadu,D,Urban,8,206710,86328,120382,Postgraduate,Farmer,No,3,808.7,Borewell,Yes,1822133.56,1260131.88,731
HH00204,Tamil Nadu,A,Rural,10,108771,68148,40623,Secondary,Farmer,Yes,2,161.9,Tanker,Yes,1680775.4,929985.3,669
HH00205,Maharashtra,B,Urban,8,13007,12850,157,Graduate,Student,No,2,878.4,Borewell,No,1705620.04,408222.65,815
HH00206,Karnataka,D,Urban,10,252374,139625,112749,Secondary,Teacher,Yes,2,739.9,Well,No,1998825.87,1206106.17,610
